PDS Main Category ID;PDS 2nd Level Category ID;"PDS Category ID
[one or more entries possible per cell]";PDS Category name;Icon Mapping;;Focus color;Default color
Main Category ID;Second Level Category ID;ICON_ID;PDS_CAT_NAME;ICON_PATH_DEFAULT;;Design token;Design token
100 Eat and Drink ;1000 Restaurant;100-1000-0000;Restaurant;restaurant_solid_16px.svg;;$hds-poi-focus-eat-drink;$hds-poi-default-eat-drink
;;100-1000-0001;Casual Dining;restaurant_solid_16px.svg;;$hds-poi-focus-eat-drink;$hds-poi-default-eat-drink
;;100-1000-0002;Fine Dining;restaurant_solid_16px.svg;;$hds-poi-focus-eat-drink;$hds-poi-default-eat-drink
;;100-1000-0003;Take Out and Delivery Only;restaurant_solid_16px.svg;;$hds-poi-focus-eat-drink;$hds-poi-default-eat-drink
;;100-1000-0004;Food Market-Stall;restaurant_solid_16px.svg;;$hds-poi-focus-eat-drink;$hds-poi-default-eat-drink
;;100-1000-0005;Taqueria;restaurant_solid_16px.svg;;$hds-poi-focus-eat-drink;$hds-poi-default-eat-drink
;;100-1000-0006;Deli;restaurant_solid_16px.svg;;$hds-poi-focus-eat-drink;$hds-poi-default-eat-drink
;;100-1000-0007;Cafeteria;restaurant_solid_16px.svg;;$hds-poi-focus-eat-drink;$hds-poi-default-eat-drink
;;100-1000-0008;Bistro;restaurant_solid_16px.svg;;$hds-poi-focus-eat-drink;$hds-poi-default-eat-drink
;1100 Coffee-Tea;100-1000-0009;Fast Food;fast-food_solid_16px.svg;;$hds-poi-focus-eat-drink;$hds-poi-default-eat-drink
;;100-1100-0000;Coffee-Tea;coffee_solid_16px.svg;;$hds-poi-focus-eat-drink;$hds-poi-default-eat-drink
;;100-1100-0010;Coffee Shop;coffee_solid_16px.svg;;$hds-poi-focus-eat-drink;$hds-poi-default-eat-drink
;;100-1100-0331;Tea House;coffee_solid_16px.svg;;$hds-poi-focus-eat-drink;$hds-poi-default-eat-drink
200 Going out-Entertainment;2000 Nightlife-Entertainment;200-2000-0000;Nightlife-Entertainment;night-club_solid_16px.svg;;$hds-poi-focus-entertainment;$hds-poi-default-entertainment
;;200-2000-0011;Bar or Pub;pub_solid_16px.svg;;$hds-poi-focus-entertainment;$hds-poi-default-entertainment
;;200-2000-0012;Night Club;night-club_solid_16px.svg;;$hds-poi-focus-entertainment;$hds-poi-default-entertainment
;;200-2000-0013;Dancing;night-club_solid_16px.svg;;$hds-poi-focus-entertainment;$hds-poi-default-entertainment
;;200-2000-0014;Karaoke;karaoke_solid_16px.svg;;$hds-poi-focus-entertainment;$hds-poi-default-entertainment
;;200-2000-0015;Live Entertainment-Music;night-club_solid_16px.svg;;$hds-poi-focus-entertainment;$hds-poi-default-entertainment
;;200-2000-0016;Billiards-Pool Hall;pool_solid_16px.svg;;$hds-poi-focus-entertainment;$hds-poi-default-entertainment
;;200-2000-0017;Video Arcade-Game Room;game-arcade_solid_16px.svg;;$hds-poi-focus-entertainment;$hds-poi-default-entertainment
;;200-2000-0018;Jazz Club;night-club_solid_16px.svg;;$hds-poi-focus-entertainment;$hds-poi-default-entertainment
;;200-2000-0019;Beer Garden;pub_solid_16px.svg;;$hds-poi-focus-entertainment;$hds-poi-default-entertainment
